entry,translation,predicted_cluster
"
    edebiyat tarihinin savaş karşıtı romanlarındandır. sıradan bir askerle birlikte savaşın bütün şiddetini yaşadıktan sonra askerini ölümü ile ilgili olarak rapor hazırlanırken ""cephede hiç bir şey yok"" yazılması ile insanın çaresiz isyanı had safhaya ulaşır. keşke askere gittikten sonra okusaydım dediğim kitap. beni askerlikten soğutan roman.<br/><br/>(bkz: `askerlikten soğutan kitaplar`)&#13;
  ","He is one of the anti -war novels in the history of literature.With an ordinary soldier, after experiencing all the violence of the war, the desperate rebellion of the human being reached the extreme stage with the writing of his soldier about his death in relation to his death.I wish I had read after I went to the military.novel that cool me from military service. <br/> <br/>",0
"
    kitapta aynı zamanda filmde okulda hocaları tarafından kahraman olacaksınız!! gazıyla savaşa gönüllü yazılan çocukta yaşta askerlerin cephe olayları anlatılır..
  ","In the book, you will also be a hero by the teachers at school in the film !!In the child who voluntarily written to war with gas, the front events of the soldiers are told.",0
"
    (bkz: `all quiet on the western front`) adiyla bilinen film ve romandan romanin orijinal adi.&#13;
  ",(see: `All Quiet on the Western Front) known as the film and novel's original name of the novel. &#13;,1
"
    (bkz: `nil novi sub sole`)&#13;
  ",(see: `Nil Novi Sub sole`) &#13;,0
"
    (bkz: `batı cephesinde yeni bir şey yok`)<br/>(bkz: `garp cephesinde yeni bir şey yok`)&#13;
  ",(see: `` There is nothing new on the western front) <br/> (see `nothing new on the Garp front) &#13;,0
"
    birinci dunya savasini genc alman askerlerin gozunden anlatan, savas karsiti kitaplarin en etkileyicilerinden biri. bunda yazarin o savasta istihkam eri olarak savasmis ve yaralanmis olmasinin payi buyuk olsa gerek.
  ","The first world war is one of the most impressive books of the war, which describes the young German soldiers.It should be a great share in the fact that the author has fought and injured in the war.",0
"
`hitler`'in yaktırdığı kitap.<br/>yazarı `erich maria remarque`'ı şöhrete ulaştıran kitap.&#13;
  ",The book `Hitler's Burned.,0
"
    yıllar önce okunmasına rağmen hala etkisinde olunabilinen gerçek bir dram gerçek bir kitap. savaşta kimsenin ""kötü"" olmadığını sadece savaşın kendisinin tek kötü olduğunu anlatır. cepheye gitmek isteyen gençler, savaş çıksada x e dalsak diyen şahsiyetler, her hangi bir zümrenin faşisliğini yapanlar bir kere okumalı bu kitabı. ideolojiler, milli duygular, devlet-kaiser için değilde sadece bir kutu konserve için sipherlere hücum eden paul u bilsinler, piyano çalanların ince parmaklarından dolayı patates soyduğunu okusunlar... savaş, hiç savaş görmemişe tatlı gelir. bu kitap en azından savaşın kokusunu size getirebilir. o bile savaştan tiksinmenize yeter.
  ","It is a real drama that can still be influenced despite being read years ago.He tells us that no one is ""bad"" in the war, that the war itself is the only bad.Young people who want to go to the front, even though the war emerges x e dalsak personalities, those who do the fascist of any group should read this book once.Ideologies, national feelings, not only for the state-kaiser, but only one box of canned sipher'a attacked the sipher, they read, the piano players because of the thin fingers of the potato reads ... war, no war comes sweet.This book can at least bring you the smell of war.Even that's enough to disgust the war.",0
"
    50 dile cevrilen, `erich maria remarque`'in (savasin üzerinden 10 yil gectikten sonra) 6 hafta icinde yazdigi, baskisi 20 milyonu gecmis olan kitap. okurun üzerinde biraktigi etki anlatim seklinin patetik olmayip, gayet gercekci olmasindan kaynaklanir. olaylara her ne kadar `protagonist` paul'un acisindan bakiliyor olsa da - sasirtici bir nötrlük, bir `nesnellik`, bir tarafsizlik vardir ortada. ayrica kitap sonuna dogru sürekli artan bir sekilde hizlanir, sürüklemeye baslar insani - etkisine etki katar böylece.<br/><br/>`im westen nichts neues` ile ilgili remarque defalarca niyetinin ne `politik`, ne de `pasifist` bir kitap yazmak oldugunu vurgulamistir, ayrica (kendi) kitabini eksik bulmustur.<br/><br/>kitabin basinda bulunan notu kitabi bitirdikten sonra tekrar okumakta fayda var - yazarin niyetini / mesajini tam olarak anlamis oluyorusunuz böylece.&#13;
  ","50 languages, `Erich Maria Remarque` s (after 10 years after the war) written in 6 weeks, the printing of 20 million in the book.The effect of the reader on the reader is caused by the fact that the narrative form is not pathetic, but it is quite realistic.Although the events are viewed from the pain of `Protagonist` Paul - there is a surprise neutrality, a` object `, there is a disorder.In addition, the end of the book is constantly accelerating, it starts to drag the humanitarian - effect, so.He emphasized that he was writing, and he also found his (his own) book missing.",0
"
    24soru.com'da bu kitabın yazarı sorulmuş cevaplar arasında fatih terim şıkkını görmemle beni dumur etmiştir.
  ",24Soru.com'da asked the author of this book among the answers to see the choice of Fatih Terim.,0
"
[http://www.ideefixe.com/kitap/tanim.asp?sid=WR7LZX796C1CY8LI1ND1 http://www.ideefixe.com/…p?sid=wr7lzx796c1cy8li1nd1]
",[http://www.ideefixe.com/kitap/tanim.asp?sid=wr7lzx796C1CY8LI1ND1,0
"
`erich maria remarque` 'nin yazdığı savaş karşıtı bir şaheserdir.<br/><br/>bu kitabı okuyup da savaş karşıtı olmayan birisiyle tanışırsanız,<br/>lütfen mümkün olduğunca o kişiyle ilişkilerinizi kesiniz.&#13;
  ",`Erich Maria Remarque is an anti -war masterpiece.,0
"
    belki ilkokuldayken okudugum bu kitaptan aklimda kalan sey askerlerin kizgin teneke parcasinda pisirdikleri bitlerle botlarini parlatmalari olmustur. o yillardan sonra bir daha da okuma firsatim olmadi.
  ","Perhaps what I read when I was in primary school was that the soldiers in my mind were polished with the lice they cook on the lack of tin tin.After those years, I did not have the opportunity to read again.",0
"
    erkeklerin okumalarini pek tavsiye etmedigim bir roman oldu kendisi gecen gun (en azindan askere gitmeden once). son sayfalar islandi biraz, kaloriferin ustune biraktim bir sure. ""apolet uzerindeki parlak bir yildizin dort ciltlik schopenhauer felsefesinden daha agir bastigini ogrendik."" diyordu bir yerinde.<br/><br/>""on sekiz yasindaydik. tam yasamayi ve dunyayi sevmeye baslamistik. bizi bu dunyayi mahvetmekle gorevlendirdiler.""&#13;
  ","It was a novel that I did not recommend men's readings.The last pages were a little bit, I left the heater on the top.""We learned that a bright star on the epaulet was more heavy than four -volume Schopenhauer philosophy.""He said. <br/> <br/>",0
"
    türkiye'de `oda yayınları` tarafından basılan, çevirisini nurten tunç'un yapdığı kitap.&#13;
  ","The book of Nurten Tunç, which was published by `` Oda Publications in Turkey.",0
"
    savaşla ilgili felsefi, hümanist, siyasi çözümlemelerden ziyade, modern dünyamızın gördüğü en yıkıcı savaşlardan birine iştirak etmiş birinin ağzından anılarını dinlemektir bu kitabı bu kadar vurucu yapan. okumamın üzerinden bunca yıl geçmiş olmasına rağmen, aklımda kalan çok net bir sahne var romandan; e. m. remarque'nin bir yandan bölük arkadaşlarının  öldüğüne üzüldüklerini fakat öte yandan da kişi başına daha çok yemek düştüğü için sevindiklerini olanca ironisiyle anlatması...
  ","The philosophical, humanist, humanist, political analysis of war, rather than political analysis, is to listen to the memories of someone who has participated in one of the most devastating wars of our modern world.Although all these years have passed since my reading, there is a very clear scene in my mind from the novel;to.m.Remarque's on the one hand, on the one hand, the company's friends are upset, on the other hand, on the other hand, more than the more food per capita is happy to explain with the irony ...",0
"
    12 eylül 1980 darbesiyle ülkemizde yasaklanmış kitaptır.
  ",It is a banned book in our country with the coup of 12 September 1980.,0
"
    her binbaşının mutlaka okuması gereken kitap. <br/><br/>--- `spoiler` ---<br/><br/>kahramanımız eve dönünce iznini askerlik bürosuna götürür kayıt ettirmek için, bir binbaşıya selam vermez ve binbaşının gazabı gelir.<br/><br/>--- `spoiler` ---&#13;
  ","The book that every major should read.<br/> <br/> --- `spoiler` --- <br/> <br/> When our hero returns home to the military office, he does not salute a major and the wrath of the major comes. <br/> <br/> --- `spoiler` --- &#13;",0
"
    askerliğin ilk günlerinde okunmaması gereken kitap.
  ",The book that should not be read in the first days of military service.,0
