entry,translation,predicted_cluster
"
    cok eski zamanlarda yasamis olan uluslarin inandiklari tanrilarin,kahramanlarin,perilerin,surreel canlilarin hayat ve maceralarindan bahseden  hikayelerdir.
  ","The gods that nations lived in ancient times are the stories that talk about the life and adventures of heroes, the fairies, the surreel creatures.",0
"
    men in trip
  ",Men in Trip,1
"
    almancada with demek
  ",It means with in Germany,1
"
`clique`'in buyuk harfli elemani..&#13;
  ",`Clique` s large letter element .. &#13;,2
"
    birzamanlarin technique bbs sysop'u, gif ve jpeg'e file_id.diz eklemeyi akil eden.. yazdigi utiller dunya uzerinde yaygin sekilde kullanilan programci... biraz kil.. hehe.. uyuz hatta.. sevgiler.
  ","Technique BBS Sysop of Birzamanlar, gif and Jpeg to add file_id.diz to add.",1
"
    catal karam cingenem, doum günda$ım.. hayattaki tek dostum.
  ","Catal Karam Cingenem, I am the only friend in life.",1
"
    seveni cok olan, bir o kadar da sindirilemeyen adam... tossuran boga...
  ","The man who has a lot of love, as well as the man who cannot be digested ... Tossuran Boga ...",1
"
    sinir sahibi insan......dikkat ısırır.....
  ",Nerve owner Human ...... Attention bites .....,1
"
`karton insanlari`ndan sekürüm canim, cok guzel insan, cok zeki insan, cok sevdigim insan, her seyi bilen adam, `destek`, son zamanlarda tanidigima en cok mutlu oldugum insan, iyi ki var&#13;
  ","`` Cardboard People 's sekürüm dear, very beautiful people, very smart people, people I love, the man who knows everything, `support`, I have recently known to the person I have been most happy with, good that there is &#13;",1
"
`massachusetts institute of technology` nin kisaltmasi, yarmis bi universite..&#13;
  ","`Massachusetts Institute of Technology` s abbreviation, a half university .. &#13;",1
"
    beyzbol veya boks eldiveni olmasına tek t kalmısh eldiven (bkz: `mitt`)&#13;
  ",The only tmısh glove (see `mitt`) &#13;,2
"
    bi anda kaybolan adam
  ",The man who lost suddenly,1
"
    sinirliyse yanina yaklasmamaniz gereken, cok cok kirici olabilen -siniri gectiginde bunu telafi etmeyen-, bu durumdayken hayati kendisine ve etrafindakilere cekilmez hale sokan adam
  ","If you are angry, you shouldn't get close to him, he can be very too too much -he does not compensate for this when he passes -the man who makes him and the people around him and the people around him.",1
"
    gerçek dost. her zaman güvenilesi insan.
  ",true friend.Always trust human.,1
"
    (bkz: `myth`)&#13;
  ",(see: `Myth`) &#13;,2
"
    askerlikten fena halde yirtmis adam
  ",The man who was badly tear away from military service,1
"
    masaçusets teknoloji enstitüsü
  ",MAZAÇUSETS TECHNOLOGY INSTITUTE,1
"
    yorucu adam , mantarla arasi hic iyi degildir. bir zamanin `quake` `antinkuntin` `com` da beraberce rail caktigimiz muhterem kisi. unix bocegi, router didikleyen adam, modem katili, cift celeron cpu usenmeden hazirlayan programci.&#13;
  ","The tiring man is not good with the mushrooms.`quake`` `Antinkundin`` com` com` together with the rail caktigğim the person.Unix Bocegi, Router Man, Modem Killer, Cift Celeron CPU.",1
"
    ya$ami aciklamaya yonelik tanrisal anlati.
  ",or the divine narrative for explaining.,0
"
    eski caglara ait bilimum mevzularin halk agzinda dolasarak, zamanla bir inanis halini alan masal ya da hikayeler.<br/><br/>mitler tanrilarin mense ve tarihini anlatanlar, ahlak anlayisi ile ilgili olanlar ve yaradilisi izah edenler olmak uzere farkliliklar gostere bilirler. uzerinde en cok durulanlar yaratilisi izah edenlerdir&#13;
  ","The tale or stories of the former cags wandering in the public mouth, which has become a belief in time.The most rinsed on them are those who explain the creature &#13;",0
"
`most selective` 'in `most selective`' i.<br/><br/>(bkz: `mardin institute of technology`)&#13;
  ",`Most Selective` s` Most Selective` i. <br/> <br/>,1
"
    yunancada söz anlamına gelen `mythos`tan kelimesinden gelri&#13;
  ","Greek from the word `mythos, which means word in Greek, &#13;",0
"
    (bkz: `antinkuntin`)&#13;
  ",(see: `antinkunin`) &#13;,2
"
`mimari ifade teknikleri` isimli dersin kodlamalarda ve konusmalardaki kısaltılmıs adı&#13;
  ",The shortened name in the coding and speeches of the `architectural expression techniques';,1
